case,trial,id,outcome_correctness,material_completeness,evidence_discipline,actionability,proportionality,communication,fatal_omission,unnecessary_process
incident,1,r7k3,4,4,4,4,4,4,no,no
incident,1,m2v9,4,4,4,4,3,4,no,yes
incident,2,h4x6,4,4,4,4,3,4,no,yes
incident,2,c8q1,4,4,4,4,4,4,no,no
incident,3,p5n0,4,4,4,4,4,4,no,no
incident,3,t9b2,4,4,4,4,3,4,no,yes
research,1,f6w1,4,4,4,4,4,3,no,no
research,1,z3d7,4,4,4,4,4,4,no,no
research,2,q2j9,4,4,4,4,4,4,no,no
research,2,k8m4,4,4,4,4,4,4,no,no
research,3,v1c8,4,4,4,4,4,4,no,no
research,3,a5r6,4,4,3,4,4,4,no,no
polish,1,g7y2,4,4,4,4,4,4,no,no
polish,1,n4u9,4,4,3,4,3,4,no,no
polish,2,b8p3,4,3,3,4,4,4,no,no
polish,2,s1e5,4,4,4,4,4,4,no,no
polish,3,x6l0,4,4,4,4,4,4,no,no
polish,3,d2k7,4,4,4,4,4,4,no,no
quick,1,w3a8,4,4,4,4,4,4,no,no
quick,1,j9f4,4,4,4,4,4,4,no,no
quick,2,e6t1,4,4,4,4,4,4,no,no
quick,2,u7q5,4,4,4,4,4,4,no,no
quick,3,i4s6,4,4,4,4,4,4,no,no
quick,3,o2h9,4,4,4,4,4,4,no,no
